Full_flag:  False
Hybrid:  False
1081: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.018020 (n_ex=100, eps=0.063, 1689.70s)
1091: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017931 (n_ex=100, eps=0.063, 1704.61s)
1101: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017791 (n_ex=100, eps=0.063, 1723.96s)
1111: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017673 (n_ex=100, eps=0.063, 1741.74s)
1121: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017528 (n_ex=100, eps=0.063, 1757.04s)
1131: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017324 (n_ex=100, eps=0.063, 1772.61s)
1141: acc=62.00% acc_corr=62.00% avg#q_ae=510.76 med#q=550.5, avg_margin=0.017284 (n_ex=100, eps=0.063, 1787.81s)
1151: acc=61.00% acc_corr=61.00% avg#q_ae=527.00 med#q=578.0, avg_margin=0.017098 (n_ex=100, eps=0.063, 1805.06s)
1161: acc=60.00% acc_corr=60.00% avg#q_ae=542.83 med#q=578.5, avg_margin=0.016932 (n_ex=100, eps=0.063, 1825.70s)
1171: acc=60.00% acc_corr=60.00% avg#q_ae=542.83 med#q=578.5, avg_margin=0.016846 (n_ex=100, eps=0.063, 1842.69s)
1181: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016726 (n_ex=100, eps=0.063, 1859.81s)
1191: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016594 (n_ex=100, eps=0.063, 1874.83s)
1201: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016542 (n_ex=100, eps=0.063, 1890.57s)
1211: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016469 (n_ex=100, eps=0.063, 1909.65s)
1221: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016265 (n_ex=100, eps=0.063, 1927.93s)
1231: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016094 (n_ex=100, eps=0.063, 1946.78s)
1241: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.016050 (n_ex=100, eps=0.063, 1960.84s)
1251: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.015944 (n_ex=100, eps=0.063, 1975.54s)
1261: acc=59.00% acc_corr=59.00% avg#q_ae=558.41 med#q=579.0, avg_margin=0.015915 (n_ex=100, eps=0.063, 1990.15s)
1271: acc=58.00% acc_corr=58.00% avg#q_ae=575.36 med#q=580.5, avg_margin=0.015882 (n_ex=100, eps=0.063, 2004.71s)
1281: acc=57.00% acc_corr=57.00% avg#q_ae=591.65 med#q=582.0, avg_margin=0.015836 (n_ex=100, eps=0.063, 2019.27s)
1291: acc=57.00% acc_corr=57.00% avg#q_ae=591.65 med#q=582.0, avg_margin=0.015841 (n_ex=100, eps=0.063, 2033.98s)
1301: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015799 (n_ex=100, eps=0.063, 2048.61s)
1311: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015753 (n_ex=100, eps=0.063, 2063.31s)
1321: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015721 (n_ex=100, eps=0.063, 2077.91s)
1331: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015649 (n_ex=100, eps=0.063, 2092.65s)
1341: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015525 (n_ex=100, eps=0.063, 2107.33s)
1351: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015524 (n_ex=100, eps=0.063, 2121.98s)
1361: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015381 (n_ex=100, eps=0.063, 2136.89s)
1371: acc=56.00% acc_corr=56.00% avg#q_ae=607.75 med#q=584.5, avg_margin=0.015348 (n_ex=100, eps=0.063, 2157.88s)
1381: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.015328 (n_ex=100, eps=0.063, 2192.13s)
1391: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.015266 (n_ex=100, eps=0.063, 2230.69s)
1401: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.015191 (n_ex=100, eps=0.063, 2253.44s)
1411: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.015109 (n_ex=100, eps=0.063, 2270.61s)
1421: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.015062 (n_ex=100, eps=0.063, 2298.17s)
1431: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.014990 (n_ex=100, eps=0.063, 2331.64s)
1441: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.014888 (n_ex=100, eps=0.063, 2348.95s)
1451: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.014839 (n_ex=100, eps=0.063, 2365.81s)
1461: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.014797 (n_ex=100, eps=0.063, 2381.00s)
1471: acc=55.00% acc_corr=55.00% avg#q_ae=624.87 med#q=587.0, avg_margin=0.014692 (n_ex=100, eps=0.063, 2394.92s)
1481: acc=54.00% acc_corr=54.00% avg#q_ae=643.43 med#q=589.5, avg_margin=0.014664 (n_ex=100, eps=0.063, 2409.68s)
1491: acc=54.00% acc_corr=54.00% avg#q_ae=643.43 med#q=589.5, avg_margin=0.014595 (n_ex=100, eps=0.063, 2424.25s)
1501: acc=54.00% acc_corr=54.00% avg#q_ae=643.43 med#q=589.5, avg_margin=0.014489 (n_ex=100, eps=0.063, 2438.74s)
1511: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014459 (n_ex=100, eps=0.063, 2453.28s)
1521: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014352 (n_ex=100, eps=0.063, 2472.32s)
1531: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014303 (n_ex=100, eps=0.063, 2486.76s)
1541: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014226 (n_ex=100, eps=0.063, 2501.20s)
1551: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014169 (n_ex=100, eps=0.063, 2515.82s)
1561: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.014015 (n_ex=100, eps=0.063, 2530.39s)
1571: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013941 (n_ex=100, eps=0.063, 2544.94s)
1581: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013867 (n_ex=100, eps=0.063, 2559.41s)
1591: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013836 (n_ex=100, eps=0.063, 2573.89s)
1601: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013799 (n_ex=100, eps=0.063, 2588.50s)
1611: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013697 (n_ex=100, eps=0.063, 2602.92s)
1621: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013621 (n_ex=100, eps=0.063, 2617.39s)
1631: acc=53.00% acc_corr=53.00% avg#q_ae=661.85 med#q=592.0, avg_margin=0.013654 (n_ex=100, eps=0.063, 2631.83s)
1641: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013577 (n_ex=100, eps=0.063, 2646.34s)
1651: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013503 (n_ex=100, eps=0.063, 2660.84s)
1661: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013416 (n_ex=100, eps=0.063, 2675.46s)
1671: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013408 (n_ex=100, eps=0.063, 2690.30s)
1681: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013297 (n_ex=100, eps=0.063, 2705.06s)
1691: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013259 (n_ex=100, eps=0.063, 2719.48s)
1701: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013280 (n_ex=100, eps=0.063, 2733.95s)
1711: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013182 (n_ex=100, eps=0.063, 2748.36s)
1721: acc=52.00% acc_corr=52.00% avg#q_ae=682.27 med#q=605.0, avg_margin=0.013139 (n_ex=100, eps=0.063, 2762.94s)
1731: acc=51.00% acc_corr=51.00% avg#q_ae=703.53 med#q=618.0, avg_margin=0.013096 (n_ex=100, eps=0.063, 2777.42s)
1741: acc=51.00% acc_corr=51.00% avg#q_ae=703.53 med#q=618.0, avg_margin=0.013011 (n_ex=100, eps=0.063, 2792.16s)
1751: acc=51.00% acc_corr=51.00% avg#q_ae=703.53 med#q=618.0, avg_margin=0.012948 (n_ex=100, eps=0.063, 2806.60s)
1761: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012901 (n_ex=100, eps=0.063, 2821.18s)
1771: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012840 (n_ex=100, eps=0.063, 2834.46s)
1781: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012820 (n_ex=100, eps=0.063, 2849.00s)
1791: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012741 (n_ex=100, eps=0.063, 2862.94s)
1801: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012579 (n_ex=100, eps=0.063, 2876.20s)
1811: acc=50.00% acc_corr=50.00% avg#q_ae=724.60 med#q=650.0, avg_margin=0.012448 (n_ex=100, eps=0.063, 2889.74s)
1821: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012371 (n_ex=100, eps=0.063, 2901.92s)
1831: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012453 (n_ex=100, eps=0.063, 2914.22s)
1841: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012441 (n_ex=100, eps=0.063, 2926.49s)
1851: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012422 (n_ex=100, eps=0.063, 2938.16s)
1861: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012389 (n_ex=100, eps=0.063, 2951.01s)
1871: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012369 (n_ex=100, eps=0.063, 2963.19s)
1881: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012313 (n_ex=100, eps=0.063, 2975.44s)
1891: acc=48.00% acc_corr=48.00% avg#q_ae=766.50 med#q=683.5, avg_margin=0.012256 (n_ex=100, eps=0.063, 2987.65s)
